Detailed Product Revenue Rank,Category Name,Detailed Product Name,Product Price,total qty orderd,($) Total Revenue From product
1,Helmets,"Sport-100 Helmet, Red",34.9900,210,3788286.7890
2,Jerseys,"Long-Sleeve Logo Jersey, L",49.9900,306,3528470.1732
3,Hydration Packs,Hydration Pack - 70 oz.,54.9900,300,3391414.9788
4,Caps,AWC Logo Cap,8.9900,312,3334987.5432
5,Jerseys,"Short-Sleeve Classic Jersey, L",53.9900,306,3250880.0934
6,Vests,"Classic Vest, S",63.5000,522,3245854.1142
7,Jerseys,"Short-Sleeve Classic Jersey, XL",53.9900,342,3244218.2334
8,Cleaners,Bike Wash - Dissolver,7.9500,330,3228350.2536
9,Bike Racks,Hitch Rack - 4-Bike,120.0000,192,3160110.7836
10,Helmets,"Sport-100 Helmet, Blue",34.9900,228,3158739.0168
11,Jerseys,"Long-Sleeve Logo Jersey, M",49.9900,156,3152714.9772
11,Jerseys,"Short-Sleeve Classic Jersey, S",53.9900,186,3152714.9772
13,Bottles and Cages,Water Bottle - 30 oz.,4.9900,324,3137405.4330
14,Gloves,"Half-Finger Gloves, M",24.4900,156,3136699.0674
14,Helmets,"Sport-100 Helmet, Black",34.9900,306,3136699.0674
14,Vests,"Classic Vest, M",63.5000,204,3136699.0674
17,Touring Bikes,"Touring-3000 Blue, 50",742.3500,138,1965611.8986
18,Pedals,HL Mountain Pedal,80.9900,72,1926473.2884
19,Mountain Bikes,"Mountain-200 Black, 38",2294.9900,156,1923825.7182
19,Shorts,"Women's Mountain Shorts, S",69.9900,288,1923825.7182
21,Handlebars,ML Mountain Handlebars,61.9200,72,1910457.3786
21,Mountain Bikes,"Mountain-200 Silver, 42",2319.9900,90,1910457.3786
21,Mountain Frames,"HL Mountain Frame - Silver, 38",1364.5000,96,1910457.3786
21,Mountain Frames,"LL Mountain Frame - Black, 44",249.7900,72,1910457.3786
25,Touring Bikes,"Touring-2000 Blue, 60",1214.8500,60,1904034.2886
25,Touring Bikes,"Touring-3000 Yellow, 44",742.3500,108,1904034.2886
